Entity,Code,Date,Confirmed COVID-19 deaths per million people (deaths per million),Year,Population density (people per sq. km of land area) (Rate)
Andorra,AND,20-Feb-20,,2017,163.7553191
Andorra,AND,21-Feb-20,,2017,163.7553191
Andorra,AND,22-Feb-20,,2017,163.7553191
Andorra,AND,23-Feb-20,,2017,163.7553191
Andorra,AND,24-Feb-20,,2017,163.7553191
Andorra,AND,25-Feb-20,,2017,163.7553191
Andorra,AND,26-Feb-20,,2017,163.7553191
Andorra,AND,27-Feb-20,,2017,163.7553191
Andorra,AND,28-Feb-20,,2017,163.7553191
Andorra,AND,29-Feb-20,,2017,163.7553191
Andorra,AND,01-Mar-20,,2017,163.7553191
Andorra,AND,02-Mar-20,,2017,163.7553191
Andorra,AND,03-Mar-20,0,2017,163.7553191
Andorra,AND,04-Mar-20,,2017,163.7553191
Andorra,AND,05-Mar-20,,2017,163.7553191
Andorra,AND,06-Mar-20,,2017,163.7553191
Andorra,AND,07-Mar-20,,2017,163.7553191
Andorra,AND,08-Mar-20,,2017,163.7553191
Andorra,AND,09-Mar-20,,2017,163.7553191
Andorra,AND,10-Mar-20,,2017,163.7553191
Andorra,AND,11-Mar-20,,2017,163.7553191
Andorra,AND,12-Mar-20,,2017,163.7553191
Andorra,AND,13-Mar-20,,2017,163.7553191
Andorra,AND,14-Mar-20,0,2017,163.7553191
Andorra,AND,15-Mar-20,,2017,163.7553191
Andorra,AND,16-Mar-20,0,2017,163.7553191
Andorra,AND,17-Mar-20,0,2017,163.7553191
Andorra,AND,18-Mar-20,0,2017,163.7553191
Andorra,AND,19-Mar-20,0,2017,163.7553191
Andorra,AND,20-Mar-20,0,2017,163.7553191
Andorra,AND,21-Mar-20,0,2017,163.7553191
Andorra,AND,22-Mar-20,0,2017,163.7553191
Andorra,AND,23-Mar-20,0,2017,163.7553191
Andorra,AND,24-Mar-20,0,2017,163.7553191
Andorra,AND,25-Mar-20,0,2017,163.7553191
Andorra,AND,26-Mar-20,0,2017,163.7553191
Andorra,AND,27-Mar-20,38.827,2017,163.7553191
Andorra,AND,28-Mar-20,38.827,2017,163.7553191
Andorra,AND,29-Mar-20,51.77,2017,163.7553191
Andorra,AND,30-Mar-20,77.655,2017,163.7553191
Andorra,AND,31-Mar-20,103.54,2017,163.7553191
Andorra,AND,01-Apr-20,155.31,2017,163.7553191
Andorra,AND,02-Apr-20,181.195,2017,163.7553191
Andorra,AND,03-Apr-20,194.137,2017,163.7553191
Andorra,AND,04-Apr-20,207.08,2017,163.7553191
Andorra,AND,05-Apr-20,220.022,2017,163.7553191
Andorra,AND,06-Apr-20,232.964,2017,163.7553191
Andorra,AND,07-Apr-20,271.792,2017,163.7553191
Andorra,AND,08-Apr-20,284.734,2017,163.7553191
Andorra,AND,09-Apr-20,297.677,2017,163.7553191
Andorra,AND,10-Apr-20,323.562,2017,163.7553191
Andorra,AND,11-Apr-20,336.504,2017,163.7553191
Andorra,AND,12-Apr-20,362.389,2017,163.7553191
Andorra,AND,13-Apr-20,375.332,2017,163.7553191
Andorra,AND,14-Apr-20,375.332,2017,163.7553191
Andorra,AND,15-Apr-20,401.217,2017,163.7553191
Andorra,AND,16-Apr-20,427.102,2017,163.7553191
Andorra,AND,17-Apr-20,427.102,2017,163.7553191
Andorra,AND,18-Apr-20,452.986,2017,163.7553191
Andorra,AND,19-Apr-20,452.986,2017,163.7553191
Andorra,AND,20-Apr-20,465.929,2017,163.7553191
Andorra,AND,21-Apr-20,465.929,2017,163.7553191
Andorra,AND,22-Apr-20,478.871,2017,163.7553191
